Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,18.95,50.89,71.71,,-37.76,,-63.31,32.42,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,24.04,56.54,79.68,,-34.33,,-57.55,36.02,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,-46.25,-33.97,-22.99,,-87.73,,,,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,-51.39,-37.74,-25.54,,-97.48,,,,,
