Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,18.01,90.04,,,-87.12,,-17.74,62.73,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,26.91,100.05,,,-79.2,,-16.13,69.7,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,-4.07,-3.11,183.69,,-89.36,,,,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,-9.3,-3.45,166.99,,-99.29,,,,,
