Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,PIT,PIT,Aroldis Chapman,-6.83,-19.21,-11.66,,17.63,,,,,
Mike Trout,LAA,vs.,PIT,LAA,Aroldis Chapman,-6.83,-19.21,-11.66,,17.63,,,,,
Mike Trout,LAA,@,TEX,TEX,Jacob deGrom,-35.33,47.23,,,-121.4,,,,,
Mike Trout,LAA,vs.,TEX,LAA,Jacob deGrom,-35.33,47.23,,,-121.4,,,,,
