Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,19.34,81.71,46.48,,-46.24,,-119.88,-33.58,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,26.27,90.79,51.64,,-42.04,,-108.98,-30.53,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,-81.87,-96.36,,,-53.54,,,48.47,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,-91.44,-107.07,,,-59.49,,,44.06,,
