Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,-3.65,61.53,,,-90.71,,,-24.03,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,3.56,68.37,,,-82.46,,,-21.85,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,-40.65,-18.87,38.47,,-166.75,,,,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,-45.56,-20.97,34.97,,-185.28,,,,,
