Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,15.85,140.32,,,-179.17,,,-122.04,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,31.46,155.91,,,-162.88,,,-110.95,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,-3.79,60.21,-68.98,,-132.81,,,,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,-12.03,54.74,-76.64,,-147.57,,,,,
