Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,75.92,150.22,70.32,,-89.64,,91.19,50.76,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,87.91,166.91,78.13,,-81.49,,101.32,56.4,,
