Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,NYM,NYM,Jacob deGrom,-50.87,48.93,,,-155.23,,,-62.42,,
Mike Trout,LAA,vs.,NYM,LAA,Jacob deGrom,-41.41,54.37,,,-141.12,,,-56.75,,
Mike Trout,LAA,@,NYY,NYY,Aroldis Chapman,61.97,73.37,29.92,,39.72,,,,,
Mike Trout,LAA,vs.,NYY,LAA,Aroldis Chapman,56.33,66.7,27.2,,36.11,,,,,
