Hitter,Team,@,Opp,Park,Pitcher,+All,+FB,+SI,+CT,+SL,+SW,+CB,+CH,+SP,+KN
Mike Trout,LAA,@,TEX,TEX,Jacob deGrom,-60.62,31.11,,,-136.63,,,,,
Mike Trout,LAA,vs.,TEX,LAA,Jacob deGrom,-60.62,31.11,,,-136.63,,,,,
